nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
REDINGTON,2015Q1,0.0,,,,
REDINGTON,2015Q2,0.0,,,,
REDINGTON,2015Q3,13.33,,,,
REDINGTON,2015Q4,0.0,,,,
REDINGTON,2016Q1,8.2,,,,
REDINGTON,2016Q2,8.2,,,,
REDINGTON,2016Q3,8.2,,,,
REDINGTON,2016Q4,13.33,,,,
REDINGTON,2017Q1,8.2,,,,
REDINGTON,2017Q2,0.0,,,,
REDINGTON,2017Q3,0.0,,,,
REDINGTON,2017Q4,8.2,,,,
REDINGTON,2018Q1,0.0,,,,
REDINGTON,2018Q2,0.0,,,,
REDINGTON,2018Q3,0.0,,,,
REDINGTON,2018Q4,0.0,,,,
REDINGTON,2019Q1,0.0,,,,
REDINGTON,2019Q2,0.0,,,,
REDINGTON,2019Q3,0.0,0.0,,0.0,
REDINGTON,2019Q4,0.0,,,,
REDINGTON,2020Q1,0.0,0.0,,0.0,
REDINGTON,2020Q2,0.0,0.0,,0.0,
REDINGTON,2020Q3,0.0,0.0,,0.0,
REDINGTON,2020Q4,0.0,0.0,,0.0,
REDINGTON,2021Q1,0.0,0.0,,0.0,
REDINGTON,2021Q2,0.0,0.0,,0.0,
REDINGTON,2021Q3,0.0,0.0,,0.0,
REDINGTON,2021Q4,0.0,0.0,,0.0,
REDINGTON,2022Q1,0.0,0.0,,0.0,
REDINGTON,2022Q2,0.0,0.0,,0.0,
REDINGTON,2022Q3,0.0,0.0,,0.0,
REDINGTON,2022Q4,0.0,0.0,,0.0,
REDINGTON,2023Q1,0.0,0.0,,0.0,
REDINGTON,2023Q2,0.0,0.0,,0.0,
REDINGTON,2023Q3,0.0,0.0,,0.0,
REDINGTON,2023Q4,0.0,0.0,,0.0,
REDINGTON,2024Q1,0.0,0.0,,0.0,
REDINGTON,2024Q2,0.0,0.0,,0.0,
REDINGTON,2024Q3,0.0,0.0,,0.0,
REDINGTON,2024Q4,0.0,0.0,,0.0,
REDINGTON,2025Q1,0.0,,,,
REDINGTON,2025Q2,0.0,,,,
REDINGTON,2025Q3,0.0,,,,
REDINGTON,2025Q4,0.0,0.0,,0.0,
REDINGTON,2026Q4,0.0,,,,
